PUNTO	ESTE	NORTE	ELEVACION	PROG.
1	205607	7635825	3547.148	0
2	205625	7635832	3349.773	20
3	205644	7635840	3545.760	40
4	205663	7635848	3539.457	60
5	205679	7635854	3535.054	80
6	205699	7635855	3528.306	100
7	205714	7635855	3521.087	120
8	205731	7635858	3511.802	140
9	205744	7635857	3503.000	160
10	205760	7635857	3491.230	180
11	205778	7635854	3484.290	200
12	205786	7635851	3480.247	210
13	205792	7635848	3477.891	220
14	205801	7635849	3474.596	230
15	205809	7635846	3471.462	240
16	205818	7635855	3466.078	250
17	205825	7635854	3464.169	260
18	205836	7635856	3456.626	270
19	205845	7635856	3458.030	280
20	205853	7635854	3461.982	290
21	205860	7635851	3465.056	300
22	205870	7635844	3471.930	310
23	205875	7635838	3476.187	320
24	205881	7635836	3480.289	330
25	205891	7635828	3488.378	340
26	205896	7635826	3491.718	350
27	205904	7635820	3493.844	360
28	205915	7635815	3495.556	370
29	205917	7635810	3496.117	380
30	205928	7635808	3494.839	390
31	205936	7635807	3494.761	400
32	205941	7635806	3496.464	410
33	205950	7635805	3499.148	420
34	205960	7635803	3506.000	430
35	205966	7635806	3510.762	440
36	205976	7635804	3515.805	450
37	205985	7635806	3521.558	460
38	205992	7635802	3525.505	470
39	205995	7635803	3527.244	480
40	206004	7635801	3533.640	490
41	206010	7635802	3537.264	500
42	206023	7635801	3547.377	510
43	206031	7635802	3553.188	520
44	206039	7635802	3558.807	530
45	206048	7635800	3564.822	540
46	206058	7635799	3569.948	550
47	206067	7635795	3573.541	560
48	206075	7635793	3575.696	570
49	206084	7635793	3575.264	580
50	206094	7635791	3576.618	590
51	206103	7635794	3576.247	600
52	206122	7635793	3574.376	620
53	206140	7635783	3569.857	640
54	206156	7635778	3564.491	660
55	206172	7635773	3558.658	680
56	206192	7635770	3546.741	700
57	206208	7635766	3536.203	720
58	206226	7635765	3526.557	740
59	206239	7635758	3521.137	760
60	206258	7635754	3512.490	780
61	206276	7635751	3510.290	800
